Left,Center,Right,Product,Group (3x2)
'100000,'011100,'100000,'000000,Nilpotent
'001000,'011100,'100000,'000000,Regular Zero Divisor
'000010,'011100,'100000,'000000,Regular Zero Divisor
'100000,'011100,'010000,'000000,Regular Zero Divisor
'010000,'011100,'010000,'010000,Idempotent
'001000,'011100,'010000,'000000,Regular Zero Divisor
'000010,'011100,'010000,'000000,Regular Zero Divisor
'010000,'011100,'001000,'000000,Regular Zero Divisor
'001000,'011100,'001000,'001000,Idempotent
'000100,'011100,'001000,'000000,Regular Zero Divisor
'000001,'011100,'001000,'000000,Regular Zero Divisor
'010000,'011100,'000100,'000000,Regular Zero Divisor
'000100,'011100,'000100,'000000,Nilpotent
'000001,'011100,'000100,'000000,Regular Zero Divisor
'010000,'011100,'000010,'000000,Regular Zero Divisor
'000100,'011100,'000010,'000000,Regular Zero Divisor
'000010,'011100,'000010,'000010,Idempotent
'000001,'011100,'000010,'000000,Regular Zero Divisor
'010000,'011100,'000001,'000000,Regular Zero Divisor
'000100,'011100,'000001,'000000,Regular Zero Divisor
'000001,'011100,'000001,'000000,Nilpotent
'100000,'111100,'100000,'100000,Idempotent
'010000,'111100,'010000,'010000,Idempotent
'010000,'111100,'001000,'000000,Regular Zero Divisor
'001000,'111100,'001000,'001000,Idempotent
'000100,'111100,'001000,'000000,Regular Zero Divisor
'000001,'111100,'001000,'000000,Regular Zero Divisor
'010000,'111100,'000100,'000000,Regular Zero Divisor
'000100,'111100,'000100,'000000,Nilpotent
'000001,'111100,'000100,'000000,Regular Zero Divisor
'010000,'111100,'000010,'000000,Regular Zero Divisor
'000100,'111100,'000010,'000000,Regular Zero Divisor
'000010,'111100,'000010,'000010,Idempotent
'000001,'111100,'000010,'000000,Regular Zero Divisor
'010000,'111100,'000001,'000000,Regular Zero Divisor
'000100,'111100,'000001,'000000,Regular Zero Divisor
'000001,'111100,'000001,'000000,Nilpotent
'100000,'101010,'100000,'100000,Idempotent
'010000,'101010,'100000,'000000,Regular Zero Divisor
'000100,'101010,'100000,'000000,Regular Zero Divisor
'000001,'101010,'100000,'000000,Regular Zero Divisor
'010000,'101010,'010000,'000000,Nilpotent
'000100,'101010,'010000,'000000,Regular Zero Divisor
'000001,'101010,'010000,'000000,Regular Zero Divisor
'100000,'101010,'001000,'000000,Regular Zero Divisor
'001000,'101010,'001000,'000000,Nilpotent
'000010,'101010,'001000,'000000,Regular Zero Divisor
'100000,'101010,'000100,'000000,Regular Zero Divisor
'001000,'101010,'000100,'000000,Regular Zero Divisor
'000100,'101010,'000100,'000100,Idempotent
'000010,'101010,'000100,'000000,Regular Zero Divisor
'010000,'101010,'000010,'000000,Regular Zero Divisor
'000100,'101010,'000010,'000000,Regular Zero Divisor
'000010,'101010,'000010,'000010,Idempotent
'000001,'101010,'000010,'000000,Regular Zero Divisor
'010000,'101010,'000001,'000000,Regular Zero Divisor
'000100,'101010,'000001,'000000,Regular Zero Divisor
'000001,'101010,'000001,'000000,Nilpotent
'100000,'111010,'100000,'100000,Idempotent
'010000,'111010,'100000,'000000,Regular Zero Divisor
'000100,'111010,'100000,'000000,Regular Zero Divisor
'000001,'111010,'100000,'000000,Regular Zero Divisor
'010000,'111010,'010000,'000000,Nilpotent
'000100,'111010,'010000,'000000,Regular Zero Divisor
'000001,'111010,'010000,'000000,Regular Zero Divisor
'001000,'111010,'001000,'001000,Idempotent
'000100,'111010,'000100,'000100,Idempotent
'010000,'111010,'000010,'000000,Regular Zero Divisor
'000100,'111010,'000010,'000000,Regular Zero Divisor
'000010,'111010,'000010,'000010,Idempotent
'000001,'111010,'000010,'000000,Regular Zero Divisor
'010000,'111010,'000001,'000000,Regular Zero Divisor
'000100,'111010,'000001,'000000,Regular Zero Divisor
'000001,'111010,'000001,'000000,Nilpotent
'100000,'001110,'100000,'000000,Nilpotent
'001000,'001110,'100000,'000000,Regular Zero Divisor
'000010,'001110,'100000,'000000,Regular Zero Divisor
'100000,'001110,'010000,'000000,Regular Zero Divisor
'010000,'001110,'010000,'010000,Idempotent
'001000,'001110,'010000,'000000,Regular Zero Divisor
'000010,'001110,'010000,'000000,Regular Zero Divisor
'100000,'001110,'001000,'000000,Regular Zero Divisor
'001000,'001110,'001000,'000000,Nilpotent
'000010,'001110,'001000,'000000,Regular Zero Divisor
'100000,'001110,'000100,'000000,Regular Zero Divisor
'001000,'001110,'000100,'000000,Regular Zero Divisor
'000100,'001110,'000100,'000100,Idempotent
'000010,'001110,'000100,'000000,Regular Zero Divisor
'010000,'001110,'000010,'000000,Regular Zero Divisor
'000100,'001110,'000010,'000000,Regular Zero Divisor
'000010,'001110,'000010,'000010,Idempotent
'000001,'001110,'000010,'000000,Regular Zero Divisor
'010000,'001110,'000001,'000000,Regular Zero Divisor
'000100,'001110,'000001,'000000,Regular Zero Divisor
'000001,'001110,'000001,'000000,Nilpotent
'100000,'101110,'100000,'100000,Idempotent
'010000,'101110,'010000,'010000,Idempotent
'100000,'101110,'001000,'000000,Regular Zero Divisor
'001000,'101110,'001000,'000000,Nilpotent
'000010,'101110,'001000,'000000,Regular Zero Divisor
'100000,'101110,'000100,'000000,Regular Zero Divisor
'001000,'101110,'000100,'000000,Regular Zero Divisor
'000100,'101110,'000100,'000100,Idempotent
'000010,'101110,'000100,'000000,Regular Zero Divisor
'010000,'101110,'000010,'000000,Regular Zero Divisor
'000100,'101110,'000010,'000000,Regular Zero Divisor
'000010,'101110,'000010,'000010,Idempotent
'000001,'101110,'000010,'000000,Regular Zero Divisor
'010000,'101110,'000001,'000000,Regular Zero Divisor
'000100,'101110,'000001,'000000,Regular Zero Divisor
'000001,'101110,'000001,'000000,Nilpotent
'100000,'011110,'100000,'000000,Nilpotent
'001000,'011110,'100000,'000000,Regular Zero Divisor
'000010,'011110,'100000,'000000,Regular Zero Divisor
'100000,'011110,'010000,'000000,Regular Zero Divisor
'010000,'011110,'010000,'010000,Idempotent
'001000,'011110,'010000,'000000,Regular Zero Divisor
'000010,'011110,'010000,'000000,Regular Zero Divisor
'001000,'011110,'001000,'001000,Idempotent
'000100,'011110,'000100,'000100,Idempotent
'010000,'011110,'000010,'000000,Regular Zero Divisor
'000100,'011110,'000010,'000000,Regular Zero Divisor
'000010,'011110,'000010,'000010,Idempotent
'000001,'011110,'000010,'000000,Regular Zero Divisor
'010000,'011110,'000001,'000000,Regular Zero Divisor
'000100,'011110,'000001,'000000,Regular Zero Divisor
'000001,'011110,'000001,'000000,Nilpotent
'100000,'111110,'100000,'100000,Idempotent
'010000,'111110,'010000,'010000,Idempotent
'001000,'111110,'001000,'001000,Idempotent
'000100,'111110,'000100,'000100,Idempotent
'010000,'111110,'000010,'000000,Regular Zero Divisor
'000100,'111110,'000010,'000000,Regular Zero Divisor
'000010,'111110,'000010,'000010,Idempotent
'000001,'111110,'000010,'000000,Regular Zero Divisor
'010000,'111110,'000001,'000000,Regular Zero Divisor
'000100,'111110,'000001,'000000,Regular Zero Divisor
'000001,'111110,'000001,'000000,Nilpotent
'100000,'110001,'100000,'100000,Idempotent
'010000,'110001,'100000,'000000,Regular Zero Divisor
'000100,'110001,'100000,'000000,Regular Zero Divisor
'000001,'110001,'100000,'000000,Regular Zero Divisor
'010000,'110001,'010000,'000000,Nilpotent
'000100,'110001,'010000,'000000,Regular Zero Divisor
'000001,'110001,'010000,'000000,Regular Zero Divisor
'010000,'110001,'001000,'000000,Regular Zero Divisor
'001000,'110001,'001000,'001000,Idempotent
'000100,'110001,'001000,'000000,Regular Zero Divisor
'000001,'110001,'001000,'000000,Regular Zero Divisor
'010000,'110001,'000100,'000000,Regular Zero Divisor
'000100,'110001,'000100,'000000,Nilpotent
'000001,'110001,'000100,'000000,Regular Zero Divisor
'100000,'110001,'000010,'000000,Regular Zero Divisor
'001000,'110001,'000010,'000000,Regular Zero Divisor
'000010,'110001,'000010,'000000,Nilpotent
'100000,'110001,'000001,'000000,Regular Zero Divisor
'001000,'110001,'000001,'000000,Regular Zero Divisor
'000010,'110001,'000001,'000000,Regular Zero Divisor
'000001,'110001,'000001,'000001,Idempotent
'100000,'111001,'100000,'100000,Idempotent
'010000,'111001,'100000,'000000,Regular Zero Divisor
'000100,'111001,'100000,'000000,Regular Zero Divisor
'000001,'111001,'100000,'000000,Regular Zero Divisor
'010000,'111001,'010000,'000000,Nilpotent
'000100,'111001,'010000,'000000,Regular Zero Divisor
'000001,'111001,'010000,'000000,Regular Zero Divisor
'010000,'111001,'001000,'000000,Regular Zero Divisor
'001000,'111001,'001000,'001000,Idempotent
'000100,'111001,'001000,'000000,Regular Zero Divisor
'000001,'111001,'001000,'000000,Regular Zero Divisor
'010000,'111001,'000100,'000000,Regular Zero Divisor
'000100,'111001,'000100,'000000,Nilpotent
'000001,'111001,'000100,'000000,Regular Zero Divisor
'000010,'111001,'000010,'000010,Idempotent
'000001,'111001,'000001,'000001,Idempotent
'100000,'010101,'100000,'000000,Nilpotent
'001000,'010101,'100000,'000000,Regular Zero Divisor
'000010,'010101,'100000,'000000,Regular Zero Divisor
'100000,'010101,'010000,'000000,Regular Zero Divisor
'010000,'010101,'010000,'010000,Idempotent
'001000,'010101,'010000,'000000,Regular Zero Divisor
'000010,'010101,'010000,'000000,Regular Zero Divisor
'010000,'010101,'001000,'000000,Regular Zero Divisor
'001000,'010101,'001000,'001000,Idempotent
'000100,'010101,'001000,'000000,Regular Zero Divisor
'000001,'010101,'001000,'000000,Regular Zero Divisor
'010000,'010101,'000100,'000000,Regular Zero Divisor
'000100,'010101,'000100,'000000,Nilpotent
'000001,'010101,'000100,'000000,Regular Zero Divisor
'100000,'010101,'000010,'000000,Regular Zero Divisor
'001000,'010101,'000010,'000000,Regular Zero Divisor
'000010,'010101,'000010,'000000,Nilpotent
'100000,'010101,'000001,'000000,Regular Zero Divisor
'001000,'010101,'000001,'000000,Regular Zero Divisor
'000010,'010101,'000001,'000000,Regular Zero Divisor
'000001,'010101,'000001,'000001,Idempotent
'100000,'110101,'100000,'100000,Idempotent
'010000,'110101,'010000,'010000,Idempotent
'010000,'110101,'001000,'000000,Regular Zero Divisor
'001000,'110101,'001000,'001000,Idempotent
'000100,'110101,'001000,'000000,Regular Zero Divisor
'000001,'110101,'001000,'000000,Regular Zero Divisor
'010000,'110101,'000100,'000000,Regular Zero Divisor
'000100,'110101,'000100,'000000,Nilpotent
'000001,'110101,'000100,'000000,Regular Zero Divisor
'100000,'110101,'000010,'000000,Regular Zero Divisor
'001000,'110101,'000010,'000000,Regular Zero Divisor
'000010,'110101,'000010,'000000,Nilpotent
'100000,'110101,'000001,'000000,Regular Zero Divisor
'001000,'110101,'000001,'000000,Regular Zero Divisor
'000010,'110101,'000001,'000000,Regular Zero Divisor
'000001,'110101,'000001,'000001,Idempotent
'100000,'011101,'100000,'000000,Nilpotent
'001000,'011101,'100000,'000000,Regular Zero Divisor
'000010,'011101,'100000,'000000,Regular Zero Divisor
'100000,'011101,'010000,'000000,Regular Zero Divisor
'010000,'011101,'010000,'010000,Idempotent
'001000,'011101,'010000,'000000,Regular Zero Divisor
'000010,'011101,'010000,'000000,Regular Zero Divisor
'010000,'011101,'001000,'000000,Regular Zero Divisor
'001000,'011101,'001000,'001000,Idempotent
'000100,'011101,'001000,'000000,Regular Zero Divisor
'000001,'011101,'001000,'000000,Regular Zero Divisor
'010000,'011101,'000100,'000000,Regular Zero Divisor
'000100,'011101,'000100,'000000,Nilpotent
'000001,'011101,'000100,'000000,Regular Zero Divisor
'000010,'011101,'000010,'000010,Idempotent
'000001,'011101,'000001,'000001,Idempotent
'100000,'111101,'100000,'100000,Idempotent
'010000,'111101,'010000,'010000,Idempotent
'010000,'111101,'001000,'000000,Regular Zero Divisor
'001000,'111101,'001000,'001000,Idempotent
'000100,'111101,'001000,'000000,Regular Zero Divisor
'000001,'111101,'001000,'000000,Regular Zero Divisor
'010000,'111101,'000100,'000000,Regular Zero Divisor
'000100,'111101,'000100,'000000,Nilpotent
'000001,'111101,'000100,'000000,Regular Zero Divisor
'000010,'111101,'000010,'000010,Idempotent
'000001,'111101,'000001,'000001,Idempotent
'100000,'100011,'100000,'100000,Idempotent
'010000,'100011,'100000,'000000,Regular Zero Divisor
'000100,'100011,'100000,'000000,Regular Zero Divisor
'000001,'100011,'100000,'000000,Regular Zero Divisor
'010000,'100011,'010000,'000000,Nilpotent
'000100,'100011,'010000,'000000,Regular Zero Divisor
'000001,'100011,'010000,'000000,Regular Zero Divisor
'100000,'100011,'001000,'000000,Regular Zero Divisor
'001000,'100011,'001000,'000000,Nilpotent
'000010,'100011,'001000,'000000,Regular Zero Divisor
'100000,'100011,'000100,'000000,Regular Zero Divisor
'001000,'100011,'000100,'000000,Regular Zero Divisor
'000100,'100011,'000100,'000100,Idempotent
'000010,'100011,'000100,'000000,Regular Zero Divisor
'100000,'100011,'000010,'000000,Regular Zero Divisor
'001000,'100011,'000010,'000000,Regular Zero Divisor
'000010,'100011,'000010,'000000,Nilpotent
'100000,'100011,'000001,'000000,Regular Zero Divisor
'001000,'100011,'000001,'000000,Regular Zero Divisor
'000010,'100011,'000001,'000000,Regular Zero Divisor
'000001,'100011,'000001,'000001,Idempotent
'100000,'110011,'100000,'100000,Idempotent
'010000,'110011,'100000,'000000,Regular Zero Divisor
'000100,'110011,'100000,'000000,Regular Zero Divisor
'000001,'110011,'100000,'000000,Regular Zero Divisor
'010000,'110011,'010000,'000000,Nilpotent
'000100,'110011,'010000,'000000,Regular Zero Divisor
'000001,'110011,'010000,'000000,Regular Zero Divisor
'001000,'110011,'001000,'001000,Idempotent
'000100,'110011,'000100,'000100,Idempotent
'100000,'110011,'000010,'000000,Regular Zero Divisor
'001000,'110011,'000010,'000000,Regular Zero Divisor
'000010,'110011,'000010,'000000,Nilpotent
'100000,'110011,'000001,'000000,Regular Zero Divisor
'001000,'110011,'000001,'000000,Regular Zero Divisor
'000010,'110011,'000001,'000000,Regular Zero Divisor
'000001,'110011,'000001,'000001,Idempotent
'100000,'101011,'100000,'100000,Idempotent
'010000,'101011,'100000,'000000,Regular Zero Divisor
'000100,'101011,'100000,'000000,Regular Zero Divisor
'000001,'101011,'100000,'000000,Regular Zero Divisor
'010000,'101011,'010000,'000000,Nilpotent
'000100,'101011,'010000,'000000,Regular Zero Divisor
'000001,'101011,'010000,'000000,Regular Zero Divisor
'100000,'101011,'001000,'000000,Regular Zero Divisor
'001000,'101011,'001000,'000000,Nilpotent
'000010,'101011,'001000,'000000,Regular Zero Divisor
'100000,'101011,'000100,'000000,Regular Zero Divisor
'001000,'101011,'000100,'000000,Regular Zero Divisor
'000100,'101011,'000100,'000100,Idempotent
'000010,'101011,'000100,'000000,Regular Zero Divisor
'000010,'101011,'000010,'000010,Idempotent
'000001,'101011,'000001,'000001,Idempotent
'100000,'111011,'100000,'100000,Idempotent
'010000,'111011,'100000,'000000,Regular Zero Divisor
'000100,'111011,'100000,'000000,Regular Zero Divisor
'000001,'111011,'100000,'000000,Regular Zero Divisor
'010000,'111011,'010000,'000000,Nilpotent
'000100,'111011,'010000,'000000,Regular Zero Divisor
'000001,'111011,'010000,'000000,Regular Zero Divisor
'001000,'111011,'001000,'001000,Idempotent
'000100,'111011,'000100,'000100,Idempotent
'000010,'111011,'000010,'000010,Idempotent
'000001,'111011,'000001,'000001,Idempotent
'100000,'100111,'100000,'100000,Idempotent
'010000,'100111,'010000,'010000,Idempotent
'100000,'100111,'001000,'000000,Regular Zero Divisor
'001000,'100111,'001000,'000000,Nilpotent
'000010,'100111,'001000,'000000,Regular Zero Divisor
'100000,'100111,'000100,'000000,Regular Zero Divisor
'001000,'100111,'000100,'000000,Regular Zero Divisor
'000100,'100111,'000100,'000100,Idempotent
'000010,'100111,'000100,'000000,Regular Zero Divisor
'100000,'100111,'000010,'000000,Regular Zero Divisor
'001000,'100111,'000010,'000000,Regular Zero Divisor
'000010,'100111,'000010,'000000,Nilpotent
'100000,'100111,'000001,'000000,Regular Zero Divisor
'001000,'100111,'000001,'000000,Regular Zero Divisor
'000010,'100111,'000001,'000000,Regular Zero Divisor
'000001,'100111,'000001,'000001,Idempotent
'100000,'010111,'100000,'000000,Nilpotent
'001000,'010111,'100000,'000000,Regular Zero Divisor
'000010,'010111,'100000,'000000,Regular Zero Divisor
'100000,'010111,'010000,'000000,Regular Zero Divisor
'010000,'010111,'010000,'010000,Idempotent
'001000,'010111,'010000,'000000,Regular Zero Divisor
'000010,'010111,'010000,'000000,Regular Zero Divisor
'001000,'010111,'001000,'001000,Idempotent
'000100,'010111,'000100,'000100,Idempotent
'100000,'010111,'000010,'000000,Regular Zero Divisor
'001000,'010111,'000010,'000000,Regular Zero Divisor
'000010,'010111,'000010,'000000,Nilpotent
'100000,'010111,'000001,'000000,Regular Zero Divisor
'001000,'010111,'000001,'000000,Regular Zero Divisor
'000010,'010111,'000001,'000000,Regular Zero Divisor
'000001,'010111,'000001,'000001,Idempotent
'100000,'110111,'100000,'100000,Idempotent
'010000,'110111,'010000,'010000,Idempotent
'001000,'110111,'001000,'001000,Idempotent
'000100,'110111,'000100,'000100,Idempotent
'100000,'110111,'000010,'000000,Regular Zero Divisor
'001000,'110111,'000010,'000000,Regular Zero Divisor
'000010,'110111,'000010,'000000,Nilpotent
'100000,'110111,'000001,'000000,Regular Zero Divisor
'001000,'110111,'000001,'000000,Regular Zero Divisor
'000010,'110111,'000001,'000000,Regular Zero Divisor
'000001,'110111,'000001,'000001,Idempotent
'100000,'001111,'100000,'000000,Nilpotent
'001000,'001111,'100000,'000000,Regular Zero Divisor
'000010,'001111,'100000,'000000,Regular Zero Divisor
'100000,'001111,'010000,'000000,Regular Zero Divisor
'010000,'001111,'010000,'010000,Idempotent
'001000,'001111,'010000,'000000,Regular Zero Divisor
'000010,'001111,'010000,'000000,Regular Zero Divisor
'100000,'001111,'001000,'000000,Regular Zero Divisor
'001000,'001111,'001000,'000000,Nilpotent
'000010,'001111,'001000,'000000,Regular Zero Divisor
'100000,'001111,'000100,'000000,Regular Zero Divisor
'001000,'001111,'000100,'000000,Regular Zero Divisor
'000100,'001111,'000100,'000100,Idempotent
'000010,'001111,'000100,'000000,Regular Zero Divisor
'000010,'001111,'000010,'000010,Idempotent
'000001,'001111,'000001,'000001,Idempotent
'100000,'101111,'100000,'100000,Idempotent
'010000,'101111,'010000,'010000,Idempotent
'100000,'101111,'001000,'000000,Regular Zero Divisor
'001000,'101111,'001000,'000000,Nilpotent
'000010,'101111,'001000,'000000,Regular Zero Divisor
'100000,'101111,'000100,'000000,Regular Zero Divisor
'001000,'101111,'000100,'000000,Regular Zero Divisor
'000100,'101111,'000100,'000100,Idempotent
'000010,'101111,'000100,'000000,Regular Zero Divisor
'000010,'101111,'000010,'000010,Idempotent
'000001,'101111,'000001,'000001,Idempotent
'100000,'011111,'100000,'000000,Nilpotent
'001000,'011111,'100000,'000000,Regular Zero Divisor
'000010,'011111,'100000,'000000,Regular Zero Divisor
'100000,'011111,'010000,'000000,Regular Zero Divisor
'010000,'011111,'010000,'010000,Idempotent
'001000,'011111,'010000,'000000,Regular Zero Divisor
'000010,'011111,'010000,'000000,Regular Zero Divisor
'001000,'011111,'001000,'001000,Idempotent
'000100,'011111,'000100,'000100,Idempotent
'000010,'011111,'000010,'000010,Idempotent
'000001,'011111,'000001,'000001,Idempotent
'100000,'111111,'100000,'100000,Idempotent
'010000,'111111,'010000,'010000,Idempotent
'001000,'111111,'001000,'001000,Idempotent
'000100,'111111,'000100,'000100,Idempotent
'000010,'111111,'000010,'000010,Idempotent
'000001,'111111,'000001,'000001,Idempotent
